;salary;experience;schedular;description;key_skills;url;prof;skill
0;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->30 000<!-- --> до <!-- -->40 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день;"Любишь моду, стильных людей и авторский почерк во всем? Фирменный стиль, бренд-бук, дизайн это вещи, которые тебя воодушевляют и заставляют твое сердце биться чаще? Тогда тебе к НАМ, в компанию креативных решений и правильной рекламы APOLLO-7!   Наша команда Apollo-7.ru в связи с расширением приглашает к сотрудничеству специалиста на вакансию: администратор, управляющий офисом, офис-менеджер, личный помощник, ассистент менеджера по продажам.   Если ты хочешь общаться с талантливыми людьми, если ты готов к нестандартным решениям, если ты не боишься быть заметным и заряжаешь своим позитивом всех остальных, тогда приходи к нам!   Наши требования просты и понятны :  Опыт работы в похожей должности от 1 года! Правильная и грамотная речь. Любовь к порядку, четкость, пунктуальность. Уверенное владение компьютером. Знание простейших функций в Instagram будет плюсом на интервью. Вежливость, ответственность и обучаемость нам крайне важны. Желание быть в центре жизни компании, быть всегда начеку! Опыт работы в должности офис-менеджера или администратора будет плюсом на интервью.    Обязанности:  Выполнение поручений руководства Закупка канцтоваров и жизнеобеспечение офиса Координация водителей и курьеров Документооборот: выставление счетов и сопроводительных документов.    Будь позитивным и эрудированным сотрудником и мы обещаем тебе:  Достойную зарплату (уровень дохода обсуждается с успешными кандидатами - оклад). Приятные премии и бонусы за хорошо выполненную работу. Широкие возможности для профессионального и карьерного развития. Работа с домами мод, с дизайнерами, ателье, шоурумами и бутиками премиум-класса. Возможность высказываться и быть услышанным при создании новых продуктов. Теплый и уютный офис с бесплатными печенюшками. Дружелюбный коллектив. Адекватное руководство. 10 минут пешком от метро Кунцевская.    Компания Apollo-7.ru это:  Работа более 10 лет в сфере маркетинга и рекламы, изготовление упаковочной продукции и разработка фирменного стиля. Лидер в отрасли полиграфии, компания в которой работают лучшие эксперты по упаковке. Огромный опыт в производимой нами продукции. Постоянный поток клиентов, которые приходят по рекомендации и хотят работать только с нами. Высокое качество производимой продукции, быстрые сроки ее изготовления. Самые довольные клиенты, которым плевать на кризис, т.к. с ними работает компания Apollo-7.    Если твое сердце уже отозвалось, фантазия заработала, то не тяни, а скорее свяжись с нами!   Ждем тебя в нашей дружной рекламной семье!  Уверены, у нас с тобой все получится! ;)";['помощник менеджера по продажам', 'Организаторские навыки', 'помощник', 'ассистент', 'MS PowerPoint', 'Пользователь ПК', 'Internet', 'Исполнение личных поручений руководителя', 'Закупка товаров и услуг', 'Обеспечение жизнедеятельности офиса', '1С: Предприятие 8', 'Грамотная речь', 'Управление курьерской службой'];https://hh.ru/vacancy/37128903;administrator;['помощник_NOUN', 'менеджер_NOUN', 'по_ADP', 'продажа_NOUN', 'организаторский_ADJ', 'навык_NOUN', 'помощник_NOUN', 'ассистент_NOUN', 'пользователь_NOUN', 'пк_NOUN', 'исполнение_NOUN', 'личный_ADJ', 'поручение_NOUN', 'руководитель_NOUN', 'закупка_NOUN', 'товар_NOUN', 'и_SCONJ', 'услуга_NOUN', 'обеспечение_NOUN', 'жизнедеятельность_NOUN', 'офис_NOUN', 'предприятие_NOUN', 'грамотный_ADJ', 'речь_NOUN', 'управление_NOUN', 'курьерский_ADJ', 'служба_NOUN']
1;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->32 000<!-- --> до <!-- -->40 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, сменный график;" Работа в клубе виртуальной реальности «Нереальное место». Нереальное место — это заведение, в котором люди играют в игры виртуальной реальности, в том числе в совместные. Мы находимся на территории культового арт-пространства «Арма», в нескольких минутах пешком от метро ""Курская"".  У нас отличные условия для работы (например, наши администраторы не проводят весь день на ногах, а сидят в эргономичных геймерских креслах DX Racer). А главное, у нас весело и интересно работать, так как администраторы не только помогают играть гостям, но и сами постоянно играют вместе с другими администраторами. Обязанности:   Основное — помогать посетителям в выборе и прохождении игр   Рассчитывать гостей по кассе   Играть в новые игры, чтобы понимать, нужно ли добавлять их нам в клуб   Готовить оборудования к началу рабочего дня и контролировать неисправности (по готовым инструкциям)   Фотографировать гостей на фоне хромакей (зеленый фон) для сувенирных фотографий   Иногда (редко) — осуществлять звонки и принимать бронирования на игровые сессии (в основном это делают наши операторы колл-центра)   Требования:   Умение поддерживать вежливую и гостеприимную беседу с посетителями   Любовь к людям, искреннее желание помогать и объяснять   Уверенный пользователь ПК   Желание изучать новое, очень хорошая память   Внимательность, ответственный подход к работе   Знание английского приветствуется   Условия:   График — 2/2 с 11:30 до 24:00 или 3/2 по 12/10/10 часов без задержек и переработок   Бесплатное обучение (рассчитано на 9 полных дней, но зависит от Вашей скорости), выплачиваем бонус при успешном прохождении   Оклад (за 15 смен в месяц) после успешного обучения от 32 000, а с бонусами до 40 000 рублей на руки   У администраторов есть возможность карьерного роста в развивающейся компании   Так как у нас молодая команда, то нестандартный вид (татуировки, пирсинг и пр.) мы только приветствуем  ";[];https://hh.ru/vacancy/37886582;administrator;[]
2;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">з/п не указана</span>";1–3 года;Полная занятость, полный день;В связи с открывшейся вакансией мы ищем в свой штат сотрудника на должность администратора 1С с дальнейшим ростом до программиста-стажера, программиста, ведущего программиста.Должностные обязанности:  Консультирование и сопровождение пользователей Компании в вопросах 1С Сбор пожеланий пользователей и составление по ним ТЗ на разработку Решение операционных проблем и вопросов в учетной системе 1С и системах сателитах Решение операционных вопросов и поддержка пользователей по вопросам мобильного приложения Администрирование и участие во внедрении системы WMS TopLog Пожелания:  Опыт работы с WMS системами. Опыт работы с TopLog как преимущество. Высшее образование в сфере ИТ Условия:  Пятидневная рабочая неделя, 8-часовой рабочий день Комфортабельный офис Отсутствие командировок Дружный молодой и амбициозный коллектив Оплата мобильной связи   ;['SQL', 'Администрирование', '1С программирование'];https://hh.ru/vacancy/37919414;administrator;['администрирование_NOUN', 'программирование_NOUN']
3;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->50 000<!-- --> до <!-- -->150 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";3–6 лет;Полная занятость, полный день;В салон красоты бизнес-класса требуется администратор. Мы ищем активную, жизнерадостную, доброжелательную личность, имеющую опыт активных продаж, ответственную, пунктуальную, желающую расти и развиваться в индустрии красоты Опыт работы в аналогичной должности от 3 лет Условия: - График 2/2 или 3/2 - Выход 3000-3500-4000 руб. - Плюс % от продажи косметики, абонементов, депозитов, услуг Мы предлагаем:  Отличное место работы Дружный коллектив Официальное оформление по ТК Высокий стабильный оклад+бонусы Возможность обслуживаться в салоне Корпоративы и обучения  Требования:  Грамотная речь Стрессоустойчивость Умение продавать Лояльность и коммуникабельность Желание развиваться и обучаться     ;['Ответственность', 'Активные продажи', 'Доброжелательность', 'Многозадачность'];https://hh.ru/vacancy/37463975;administrator;['ответственность_NOUN', 'активный_ADJ', 'продажа_NOUN', 'доброжелательность_NOUN', 'многозадачность_NOUN']
4;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->40 000<!-- --> до <!-- -->150 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день;"Салоны красоты ВОСК располагаются в Северо-Восточном округе Москвы и осуществляют свою деятельность на рынке индустрии красоты с 2001 года. Наши салоны расположены в шаговой доступности от метро с высокой проходимостью. Работая у нас в компании Вы можете пройти путь от рядового администратора до управляющего салона красоты.   Обязанности:  Встреча гостей, запись на процедуры салона красоты, расчет клиентов Консультация по услугам салона Продвижение услуг; Контроль работы персонала; Контроль продукции; Создание атмосферы уюта и комфорта; Работа с кассовым аппаратом, эквайринг, отчетность. Урегулирование конфликтных ситуаций  Требования:  Работа в режиме многозадачности; Знание этики общения с клиентами; Грамотная письменная и устная речь; Знание компьютерных программ UNIVERSE, YCLIENTS приветствуется Опыт от 1 года на позиции администратора (салоны красоты, фитнес);  Условия:  график 2/2,3/1 9.00 до 21.00 / 10.00 до 21.00 выход + премии (после испытательного срока выход + %) своевременная выдача заработной платы скидки на услуги салона оформление по ТК РФ возможность карьерного роста возможность обучения и повышение квалификации 100% за счет компании  Мы рады видеть открытых, вежливых и дружелюбных сотрудников! МЫ ЖДЕМ ТЕБЯ! Присоединяйся и стань частью нашей команды!";[];https://hh.ru/vacancy/37423823;administrator;[]
5;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->40 000<!-- --> до <!-- -->60 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, сменный график;  В студию маникюра I like Nails в центре Москвы с высокой проходимостью требуется активная администратор! ОБЯЗАННОСТИ: • ведение записи по телефону и What's App • встреча посетителей • расчет клиентов и мастеров • чай/кофе • поддержание уютной атмосферы в салоне • формирование отчётности ТРЕБОВАНИЯ: • опыт строго от 1 года администратором в студии маникюра или в салоне красоты !!! • приветливость и дружелюбие как к клиентам, так и к коллективу • активность • умение найти выход из трудной ситуации • работа в режиме многозадачности УСЛОВИЯ: • оформление по ТК • график 2/2 • время работы с 9 до 22 • выдача заработной платы 2 раза в месяц без задержек • премии • повышение по карьерной лестнице  ;[];https://hh.ru/vacancy/37468953;administrator;[]
6;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->60 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день;Администратор требуется в салон красоты и центр косметологии премиум класса сети «Приятное свидание».Салон находится около станции метро Университет.Медицинская лицензия.Салоны основаны в 1991 году.Режим работы 2/2, с 9-00 до 21-00.Оклад от 2500 + % с продаж.Трудоустройство.Требования - желание работать, высшее образование.Опыт работы администратором в салоне красоты обязателен!!!Сплоченный творческий коллектив.Вакансия актуальна, ждём Вас на собеседование.Наш сайт и Инстаграм расскажут Вам о салонах красоты «Приятное свидание».;['Английский\xa0— A1 — Начальный', 'Администратор салона красоты', 'Салон красоты', 'Английский\xa0— A1 — Начальный', 'Администратор салона красоты', 'Салон красоты'];https://hh.ru/vacancy/37722667;administrator;['английский_ADJ', 'начальный_ADJ', 'администратор_NOUN', 'салон_NOUN', 'красота_NOUN', 'салон_NOUN', 'красота_NOUN', 'английский_ADJ', 'начальный_ADJ', 'администратор_NOUN', 'салон_NOUN', 'красота_NOUN', 'салон_NOUN', 'красота_NOUN']
7;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->45 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";3–6 лет;Полная занятость, полный день;"НОВАЯ студия красоты POLLY NAIL beauty ищет в команду администратора. Мы ищем профессионала с опытом работы, любящего сферу бьюти услуг и людей. Вы непременно должны излучать уверенность в себе, быть коммуникабельным, уравновешенным, и с позитивным мышлением. Ведь именно ВЫ создаёте атмосферу и настроение в студии. Кандидат на эту позицию обладает организационными способностями, повышенной ответственностью, целеустремленностью и желанием учиться и совершенствоваться. Для нас важно, чтобы вы были честны и инициативны. Одним из ВАЖНЕЙШИХ требований является понимание организации работы студии в соответствии с требованиями, предъявляемыми к предприятиям коммунально-бытового назначения. Обязанности: 1. Обеспечение бесперебойной работы студии:  Ежедневное открытие и закрытие студии Выкладка товара, оформление витрины Контроль над расходом косметических средств и материалов Контроль над чистотой помещения, рабочих мест, тех.исправностью оборудования Работа с кассовым аппаратом, терминалом. Отчетность. Взаимодействие с управляющим, отправка отчетов, получение указаний Взаимодействие с контрольными органами при проверках  Ведение журналов стерилизации. 2. Организация работы персонала:  Формирование графика записи клиентов к мастерам салона Контроль соблюдения рабочего графика, внешнего вида сотрудников Контроль чистоты правил и норм охраны труда, техники безопасности при обслуживании клиентов Обеспечение исполнение работниками указаний руководства  3. Работа с клиентской базой  Встреча и прием гостей. Чай/кофе Ведение клиентской базы, Работа с CRM системой (yclients) Запись клиентов на услуги Консультирование клиентов Продажа средств для ухода Рассмотрение претензий Разрешение конфликтных ситуаций  Ваши компетенции  опыт работы в салоне красоты обязателен! От 3-х лет знание САНПИН 2.1.2.2631-10 уверенный пользователь ПК (Excel, Power Point, Word) честность вежливость, дисциплина, организованность пунктуальность ответственность грамотная устная и письменная речь следование стандартам студии  Мы предлагаем:  Стильное пространство Возможность получить новый опыт Лояльные руководители Скидка на услуги и продукцию студии Возможность профессионального роста и развития График работы сотрудника (с 9-30 до 22-00); Плата за выход (1500 р.) Испытательные срок 3 мес. Возможен карьерный рост Оплата 2 раз в месяц, без задержек  Мы знаем, что у нас много требований, но именно классная и профессиональная команда – составляющая успешного салона. Поэтому, если ВЫ узнали в себя в описании, не сомневаетесь и откликайтесь скорее! Вы нам нужны, и вы точно не пожалеете.";['Управление персоналом', 'Грамотная речь', 'Грамотность', 'Подбор персонала', 'Многозадачность', 'Управление персоналом', 'Грамотная речь', 'Грамотность', 'Подбор персонала', 'Многозадачность'];https://hh.ru/vacancy/37852023;administrator;['управление_NOUN', 'персонал_NOUN', 'грамотный_ADJ', 'речь_NOUN', 'грамотность_NOUN', 'подбор_NOUN', 'персонал_NOUN', 'многозадачность_NOUN', 'управление_NOUN', 'персонал_NOUN', 'грамотный_ADJ', 'речь_NOUN', 'грамотность_NOUN', 'подбор_NOUN', 'персонал_NOUN', 'многозадачность_NOUN']
8;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->70<!-- --> до <!-- -->150 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";3–6 лет;Полная занятость, сменный график;"Добрый день, соискатель! Вакансий много, дельных мало. Приглашаем к сотрудничеству в дружную команду успешно развивающейся сети Центров Красоты ОК! администратора С КАЧЕСТВЕННЫМ ОПЫТОМ РАБОТЫ с отделениями коррекции фигуры и медицинской косметологии. Без реального опыта в крупном салоне/центре красоты не рассматриваем. Исключение составляют специалисты из других сфер с хорошим опытом продаж услуг и товаров.   Если вы действительно ищете серьезную, интересную работу надолго, где можно легко вырасти до управляющего, и пройти путь от экспертного администратора салона до профессионального управляющего, где некогда скучать и можно зарабатывать больше предлагаемой на рынке бьюти ставки администратора салона красоты, откликайтесь. Вы, также, человек с позитивным мышлением, повышенной ответственностью, любящий всей душой свою работу в красивой отрасли и людей), стремящийся к развитию и профессиональному росту, с желанием хорошо зарабатывать и чувствовать себя комфортно и надежно, оставьте отклик на данную вакансию. Мы – вне стандартов, у нас интересно, подвижно и материальная выгода как результат превосходит ожидания. Открыты вакансии в следующих районах: 1. Метро Митино (100 метров от метро) 2. Метро Алтуфьево/ Отрадное (5 мин пешком) 3. Метро Красносельская (напротив метро) заведения с медицинской лицензией и полным спектром услуг салона красоты полного цикла:  Парикмахерский зал Отделение эстетической косметологии Отделение врачебной дерматокосметологии Отделение ручной и аппаратной коррекции фигуры, массажа LASHES&BROW BAR Студия ногтевого сервиса подология    Условия: График 2/2 Прекрасная мотивационная и бонусная система, более чем интересная заработная плата со своевременной выплатой: оклад + несколько ступеней мотивации  Достойный оклад за выход Рост оклада на несколько ступеней от оборота заведения: мотивация от оборота каждого дня (дополнительные премии каждой смены) Бонусы от продаж более чем 50% услуг (5%, 10% от продаж) Витрина 10% как стандарт любого салона. Дополнительные существенные премии за выполненный объем продаж за месяц (абонементов, депозитов, сертификатов) премии месяца по результата выполненного плана оборота Доп KPI за выполнение дополнительных задач (при желании взять на себя эти задачи и готовность им соответствовать) Оформление по ТК РФ  В целом, потолка в росте дохода и квалификации нет, все в ваших руках в компании ОК!   · Потрясающая концепция салона · работа с сильной и дружной командой в ""живых салонах"" с отличным оборотом · лояльные руководители, которые рядом и слышат вас · много рекламы, а как следствие - салоны с отличной проходимостью · оформление по ТК РФ после испытательного срока, не урезающий условия вашего дохода · возможность профессионального роста и развития · бесплатное обслуживание в салоне по себестоимости · график работы 2/2 · место работы : м. Алтуфьево/ Отрадное, м. Митино, м. Красносельская · ОБЯЗАТЕЛЬНАЯ СТАЖИРОВКА - НЕ ОПЛАЧИВАЕТСЯ (срок стажировки индивидуален, зависит от того, как вы быстро схватите весь объем информации для старта в работе. Стандартно - неделя), далее по результатам тестирования. Стажировка проходит по книге стажера, объем большой. 1 месяц испытательный срок.   На собеседование принести: · Огонь и чертики в глазах )) · Реальное высшее образование приветствуется · Реальное желание найти серьезную работу надолго и «всерьез» и ей соответствовать во всех заданных пунктах · Режим многозадачности – ваш конек · вы менеджер по продажам «от Бога» · клиентоориентированность · уровень ответственности зашкаливает · знание этики общения с гостями и грамотная речь · знание программы Юниверс красота (Не обязательно)   Обязанности:   От скучной технички до творческих полетов · Организация эффективной работы салона красоты по Чек листу компании · Проведение пятиминуток · работа с телефонными звонками, ведение базы данных; · встреча гостей , общение с гостями салона, согласно стандартам клиентского сервиса · Консультирование по представленной продукции; · Работа с персоналом; · Продажа профессиональной косметики и подарочных сертификатов; · Ведение кассовых операций, ведение документации; · Выполнение административных и контрольных функций. · Контроль чистоты и порядка в салоне; · Контроль расхода и заказ материалов для работы. · Продажи услуг · Ведение записи с распределением нагрузки на специалистов · работа с клиентской базой · презентация и продвижение услуг салона · информирование гостей о существующих и запланированных акциях и спецпредложениях , днях красоты · создание и поддержание атмосферы уюта и комфорта в заведении Требования: · Ключевые навыки: Активные продажи, коммуникабельность, внимательность, умение работать в команде, стрессоустойчивость, лёгкая обучаемость, ответственность, высокий уровень самоконтроля. Весь перечень, необходимый для того, чтобы быть действительно специалистом и отлично зарабатывать.      ";['Клиентоориентированность', 'Управление персоналом', 'Развитие продаж', 'Грамотная речь', 'Обучение и развитие', 'Коммуникабельность', 'Активные продажи', 'Прямые продажи', 'Телефонные переговоры', 'Работа с возражениями'];https://hh.ru/vacancy/37474354;administrator;['клиентоориентированность_NOUN', 'управление_NOUN', 'персонал_NOUN', 'развитие_NOUN', 'продажа_NOUN', 'грамотный_ADJ', 'речь_NOUN', 'обучение_NOUN', 'и_SCONJ', 'развитие_NOUN', 'коммуникабельность_NOUN', 'активный_ADJ', 'продажа_NOUN', 'прямой_ADJ', 'продажа_NOUN', 'телефонный_ADJ', 'переговоры_NOUN', 'работа_NOUN', 'с_ADP', 'возражение_NOUN']
9;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->45 000<!-- --> до <!-- -->65 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";не требуется;Полная занятость, полный день;"Обязанности:  Встреча и координация гостей офиса; Прием и распределение входящих звонков; Деловая переписка; Обеспечение жизнедеятельности офиса; Обработка первичной документации;  Требования:  Образование не ниже среднего; Грамотная устная и письменная речь; Базовое знание ПК; Доброжелательность, коммуникабельность; Опыт работы с людьми приветствуется;  Условия:  График 5/2 с 9 до 18, возможен гибкий; Комфортабельный офис; Карьерный рост; Премии по результатам работы; Официальное оформление, белая оплата. ";['Обеспечение жизнедеятельности офиса', 'Закупка оргтехники и оборудования', 'Грамотная речь', 'Прием и распределение телефонных звонков', 'Деловая переписка'];https://hh.ru/vacancy/37851986;administrator;['обеспечение_NOUN', 'жизнедеятельность_NOUN', 'офис_NOUN', 'закупка_NOUN', 'оргтехника_NOUN', 'и_SCONJ', 'оборудование_NOUN', 'грамотный_ADJ', 'речь_NOUN', 'прием_NOUN', 'и_SCONJ', 'распределение_NOUN', 'телефонный_ADJ', 'звонок_NOUN', 'деловой_ADJ', 'переписка_NOUN']
